,CID,smiles
0,18350088,CCC1(COC1)COC(C)OC(=O)C=C
1,140509194,CCC[Tl](CCCOC(=O)C=C)CCCOC(=O)C=C
2,21495821,CC(C)C1CCCC(C1)OC(=O)C=C
3,23593022,CCCC(CCCC(C)O)OC(=O)C=C
4,88342601,C=CC(=O)OC(C(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
5,87294031,C=CC[Si](CC=C)(OCCOC(=O)C=C)OCCOC(=O)C=C
6,87294032,CC(OC(=O)C=C)O[Si](CC=C)(CC=C)OC(C)OC(=O)C=C
7,88342628,CCCCC(CC=C)OC(=O)C=C
8,161742949,CCCCOC(=O)C=C.CCCCOC(=O)C(=C)C.COC(=O)C=C
9,92012650,CC(C)(C1CCC(CC1)O)C2CCC(CC2)OC(=O)C=C
10,147325036,CCC(CC)(COC(=O)C=C)C1OCC(CO1)(C)COC(=O)C=C
11,140509292,CC(C(O)OC(=O)C=C)(O)O
12,57147541,CCC(C)COCC(COC(=O)C=C)O
13,87294110,C=CC(=O)OCCC[Si](O[Si](Cl)(Cl)Cl)(O[Si](Cl)(Cl)Cl)O[Si](Cl)(Cl)Cl
14,54526169,CC(C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)CC(C)OC(=O)C=C)OC(=O)C=C
15,151781610,C=CC(=O)OCCC(C(C(F)(F)F)(F)F)C(F)(F)F
16,88342765,CN(C)CCOC(=O)C=C.C=CC(=O)O
17,162005235,CCOC(COCCOCCOC(=O)C=C)OC
18,21758197,CCCCC(CC)CCCCOC(=O)C=C
19,54526199,CC1C(CCO1)OC(=O)C=C
20,22020344,CC(C)(C)OC(=O)OCCOC(=O)C=C
21,22020345,CC(=O)OCC(=O)OCCOC(=O)C=C
22,22020346,CC(C)OCCOC(=O)C=C
23,22020347,CCCOCCOC(=O)C=C
24,22020348,COC(=O)COCCOC(=O)C=C
25,91226370,COC(=O)C=C.C1COC1=O
26,54001936,CCCCCC(OCCCOC(=O)C=C)(OCCCOC(=O)C=C)OCCCOC(=O)C=C
