,CID,tsne_1,tsne_2,link,image
0,151232965,12.170463,-59.36897,https://pubchem.ncbi.nlm.nih.gov/compound/151232965,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/151232965.png
1,143495565,-63.76467,-30.156662,https://pubchem.ncbi.nlm.nih.gov/compound/143495565,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/143495565.png
2,25058517,31.312414,13.631421,https://pubchem.ncbi.nlm.nih.gov/compound/25058517,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/25058517.png
3,136740077,-2.5519006,-33.89375,https://pubchem.ncbi.nlm.nih.gov/compound/136740077,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/136740077.png
4,63174260,-10.141006,-23.402014,https://pubchem.ncbi.nlm.nih.gov/compound/63174260,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/63174260.png
5,14710585,-61.359177,-9.585043,https://pubchem.ncbi.nlm.nih.gov/compound/14710585,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/14710585.png
6,102239287,-61.1109,-9.567039,https://pubchem.ncbi.nlm.nih.gov/compound/102239287,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/102239287.png
7,69255208,-0.61548674,11.596487,https://pubchem.ncbi.nlm.nih.gov/compound/69255208,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/69255208.png
8,80121511,15.005513,-30.949638,https://pubchem.ncbi.nlm.nih.gov/compound/80121511,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/80121511.png
9,149952808,12.184568,-63.604904,https://pubchem.ncbi.nlm.nih.gov/compound/149952808,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/149952808.png
10,88688605,-41.260082,-22.26559,https://pubchem.ncbi.nlm.nih.gov/compound/88688605,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/88688605.png
11,130572517,6.7632155,-12.654078,https://pubchem.ncbi.nlm.nih.gov/compound/130572517,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/130572517.png
12,67305386,12.252582,-12.976259,https://pubchem.ncbi.nlm.nih.gov/compound/67305386,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/67305386.png
13,94964781,-47.79668,18.566484,https://pubchem.ncbi.nlm.nih.gov/compound/94964781,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/94964781.png
14,135392122,-9.506003,6.8780327,https://pubchem.ncbi.nlm.nih.gov/compound/135392122,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/135392122.png
15,23130223,-63.26645,-11.2439,https://pubchem.ncbi.nlm.nih.gov/compound/23130223,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/23130223.png
16,100301511,-14.059756,22.782423,https://pubchem.ncbi.nlm.nih.gov/compound/100301511,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/100301511.png
17,89956591,15.241216,27.538206,https://pubchem.ncbi.nlm.nih.gov/compound/89956591,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/89956591.png
18,80911035,-62.892708,9.604461,https://pubchem.ncbi.nlm.nih.gov/compound/80911035,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/80911035.png
19,148563643,-54.956707,-11.970176,https://pubchem.ncbi.nlm.nih.gov/compound/148563643,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/148563643.png
20,82095369,5.324814,5.4483557,https://pubchem.ncbi.nlm.nih.gov/compound/82095369,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/82095369.png
21,14079742,-53.40879,25.760698,https://pubchem.ncbi.nlm.nih.gov/compound/14079742,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/14079742.png
22,64308493,-27.056002,-24.612497,https://pubchem.ncbi.nlm.nih.gov/compound/64308493,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/64308493.png
23,131435309,23.418045,-23.551842,https://pubchem.ncbi.nlm.nih.gov/compound/131435309,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/131435309.png
24,129876862,-39.914566,37.274075,https://pubchem.ncbi.nlm.nih.gov/compound/129876862,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/129876862.png
25,21951733,-5.610037,-29.840525,https://pubchem.ncbi.nlm.nih.gov/compound/21951733,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/21951733.png
26,12112776,-13.21822,5.334116,https://pubchem.ncbi.nlm.nih.gov/compound/12112776,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/12112776.png
27,12285796,-28.671902,6.8271675,https://pubchem.ncbi.nlm.nih.gov/compound/12285796,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/12285796.png
28,164077501,-16.444036,5.157745,https://pubchem.ncbi.nlm.nih.gov/compound/164077501,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/164077501.png
29,167068981,-38.155777,-11.474677,https://pubchem.ncbi.nlm.nih.gov/compound/167068981,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/167068981.png
30,82210680,31.417166,-1.4146549,https://pubchem.ncbi.nlm.nih.gov/compound/82210680,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/82210680.png
31,12233617,82.706726,10.876584,https://pubchem.ncbi.nlm.nih.gov/compound/12233617,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/12233617.png
32,142131256,47.168655,29.638083,https://pubchem.ncbi.nlm.nih.gov/compound/142131256,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/142131256.png
33,13191222,-56.73454,-15.047333,https://pubchem.ncbi.nlm.nih.gov/compound/13191222,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/13191222.png
34,148781128,-20.711662,-39.67802,https://pubchem.ncbi.nlm.nih.gov/compound/148781128,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/148781128.png
35,62936423,44.12424,-4.512489,https://pubchem.ncbi.nlm.nih.gov/compound/62936423,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/62936423.png
36,132157788,18.358631,-29.131884,https://pubchem.ncbi.nlm.nih.gov/compound/132157788,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/132157788.png
37,68739978,-65.27406,-14.455712,https://pubchem.ncbi.nlm.nih.gov/compound/68739978,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/68739978.png
38,103960508,-15.481533,-33.04655,https://pubchem.ncbi.nlm.nih.gov/compound/103960508,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/103960508.png
39,150198614,10.4593115,-62.63117,https://pubchem.ncbi.nlm.nih.gov/compound/150198614,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/150198614.png
40,15289562,51.713577,25.807173,https://pubchem.ncbi.nlm.nih.gov/compound/15289562,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/15289562.png
41,89479548,-31.797207,-32.966736,https://pubchem.ncbi.nlm.nih.gov/compound/89479548,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/89479548.png
42,149645617,54.121037,-28.980614,https://pubchem.ncbi.nlm.nih.gov/compound/149645617,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/149645617.png
43,144214780,-35.28924,28.276443,https://pubchem.ncbi.nlm.nih.gov/compound/144214780,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/144214780.png
44,71256003,-16.562382,-13.376045,https://pubchem.ncbi.nlm.nih.gov/compound/71256003,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/71256003.png
45,164009763,22.968748,28.614498,https://pubchem.ncbi.nlm.nih.gov/compound/164009763,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/164009763.png
46,58374232,31.320654,14.048487,https://pubchem.ncbi.nlm.nih.gov/compound/58374232,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/58374232.png
47,160851861,-49.811234,-22.161171,https://pubchem.ncbi.nlm.nih.gov/compound/160851861,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/160851861.png
48,21824859,-14.331848,-60.953835,https://pubchem.ncbi.nlm.nih.gov/compound/21824859,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/21824859.png
49,160923758,-55.91677,-13.43784,https://pubchem.ncbi.nlm.nih.gov/compound/160923758,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/160923758.png
50,105435974,-9.528526,-6.774157,https://pubchem.ncbi.nlm.nih.gov/compound/105435974,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/105435974.png
51,130015769,-24.5982,-7.7157745,https://pubchem.ncbi.nlm.nih.gov/compound/130015769,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/130015769.png
52,85923530,-47.459618,25.676207,https://pubchem.ncbi.nlm.nih.gov/compound/85923530,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/85923530.png
53,141340669,36.974705,51.72878,https://pubchem.ncbi.nlm.nih.gov/compound/141340669,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/141340669.png
54,13409992,-29.584293,-47.96086,https://pubchem.ncbi.nlm.nih.gov/compound/13409992,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/13409992.png
55,152443847,5.2668185,-63.210438,https://pubchem.ncbi.nlm.nih.gov/compound/152443847,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/152443847.png
56,129874657,-49.093834,17.08181,https://pubchem.ncbi.nlm.nih.gov/compound/129874657,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/129874657.png
57,85861079,2.0220728,-21.896742,https://pubchem.ncbi.nlm.nih.gov/compound/85861079,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/85861079.png
58,83967490,59.581528,8.601557,https://pubchem.ncbi.nlm.nih.gov/compound/83967490,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/83967490.png
59,54573598,-19.471828,18.025928,https://pubchem.ncbi.nlm.nih.gov/compound/54573598,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/54573598.png
